hospital_name,state,district,city,hospital_type,specialization,rating,cost_level,latitude,longitude,source_note
Wenlock District Hospital,Karnataka,Dakshina Kannada,Mangaluru,Government,General Medicine,3.7,Low,12.9231,74.8506,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
City Hospital Research and Diagnostic Centre,Karnataka,Dakshina Kannada,Mangaluru,Trust,Multi-speciality,4.0,Low,12.9285,74.8434,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Tejasvini Hospital,Karnataka,Dakshina Kannada,Mangaluru,Trust,Multi-speciality,4.1,Low,12.9033,74.8704,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KLE Society's Dr Prabhakar Kore Hospital and MRC,Karnataka,Dharwad,Hubballi,Private,Multi-speciality,4.3,High,15.3593,75.1312,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KLE Centenary Charitable Hospital,Karnataka,Dharwad,Hubballi,Private,Multi-speciality,4.3,High,15.3647,75.124,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Suchirayu Hospital,Karnataka,Dharwad,Hubballi,Trust,Multi-speciality,4.1,Low,15.3701,75.1168,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Tatwadarsha Hospital,Karnataka,Dharwad,Hubballi,Private,Multi-speciality,4.3,Medium,15.3755,75.1096,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Shri Balaji Institute of Neuro Sciences and Trauma,Karnataka,Dharwad,Hubballi,Trust,Orthopedics & Trauma,4.5,High,15.3503,75.1366,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Shakuntala Memorial Hospital and Research Centre,Karnataka,Dharwad,Hubballi,Private,Multi-speciality,4.3,Medium,15.3557,75.1294,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Ashoka Hospital Hubballi,Karnataka,Dharwad,Hubballi,Private,Multi-speciality,4.3,Medium,15.3611,75.1222,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Hubli Super Speciality Hospital,Karnataka,Dharwad,Hubballi,Trust,Multi-speciality,3.8,Low,15.3665,75.115,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Nalwad Multispeciality Hospital and Research Centre,Karnataka,Dharwad,Hubballi,Private,Multi-speciality,4.1,Medium,15.3719,75.1078,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Shushroosha Dr G V Pandit Memorial Hospital,Karnataka,Dharwad,Hubballi,Trust,Multi-speciality,4.1,Low,15.3773,75.1348,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Karnataka Cancer Therapy and Research Institute,Karnataka,Dharwad,Dharwad,Trust,Oncology,4.3,High,15.4463,75.0114,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Vivekanand General Hospital,Karnataka,Dharwad,Dharwad,Trust,Multi-speciality,3.9,Low,15.4517,75.0042,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
M M Joshi Eye Institute,Karnataka,Dharwad,Dharwad,Trust,Ophthalmology,3.9,Low,15.4571,74.997,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Disha Superspeciality Eye Hospital Research Centre,Karnataka,Dharwad,Dharwad,Private,Ophthalmology,4.4,Medium,15.4625,75.024,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sanjeevini Speciality Hospital,Karnataka,Dharwad,Dharwad,Trust,Multi-speciality,3.9,Low,15.4679,75.0168,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Jayapriya Hospital,Karnataka,Dharwad,Dharwad,Trust,Multi-speciality,3.9,Low,15.4733,75.0096,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KLE Hospital Dharwad,Karnataka,Dharwad,Dharwad,Private,Multi-speciality,4.4,High,15.4481,75.0024,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Dharwad City Care Hospital,Karnataka,Dharwad,Dharwad,Trust,Multi-speciality,4.1,Low,15.4535,74.9952,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Vithoba Memorial Hospital Vithoba Netralaya,Karnataka,Dharwad,Dharwad,Trust,Ophthalmology,4.0,Low,15.4589,75.0222,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
SDM College of Medical Sciences and Hospital,Karnataka,Dharwad,Dharwad,Trust,Multi-speciality,4.2,Low,15.4643,75.015,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
BHS Lakeview Heart and Super Speciality Hospital,Karnataka,Belagavi,Belagavi,Trust,Cardiology,4.3,Medium,15.8605,74.4977,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KLE Belgaum Cancer Hospital,Karnataka,Belagavi,Belagavi,Private,Oncology,4.3,High,15.8353,74.4905,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Vijaya Ortho and Trauma Centre,Karnataka,Belagavi,Belagavi,Private,Orthopedics & Trauma,4.5,High,15.8407,74.4833,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Saideep Eye Hospital,Karnataka,Belagavi,Belagavi,Trust,Ophthalmology,4.0,Low,15.8461,74.5103,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Shri Daneshwari Surgical and General Hospital,Karnataka,Belagavi,Belagavi,Trust,Multi-speciality,3.8,Low,15.8515,74.5031,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Life Care Multispeciality Hospital and Diagnostic Centre,Karnataka,Belagavi,Belagavi,Private,Multi-speciality,4.3,Medium,15.8569,74.4959,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KLE Centenary Charitable Hospital Belagavi,Karnataka,Belagavi,Belagavi,Private,Multi-speciality,4.5,High,15.8623,74.4887,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Yash Hospital Critical Care Centre,Karnataka,Belagavi,Belagavi,Trust,Multi-speciality,3.9,Low,15.8371,74.4815,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Dr Naik's Hospital,Karnataka,Belagavi,Belagavi,Trust,Multi-speciality,3.9,Low,15.8425,74.5085,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Belagavi City Hospital and Research Centre,Karnataka,Belagavi,Belagavi,Private,Multi-speciality,4.1,Medium,15.8479,74.5013,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Dr TMA Pai Hospital Udupi,Karnataka,Udupi,Udupi,Trust,Multi-speciality,3.9,Low,13.3445,74.7385,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Prasad Netralaya,Karnataka,Udupi,Udupi,Private,Ophthalmology,4.2,Medium,13.3499,74.7313,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
GANGOLLI PRIMARY HEALTH CENTER,Karnataka,Udupi,Udupi,Government,General Medicine,3.9,Low,13.3553,74.7583,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Adarsha Hospital Udupi,Karnataka,Udupi,Udupi,Trust,Multi-speciality,4.0,Low,13.3301,74.7511,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Hitech Medicare Hospital Udupi,Karnataka,Udupi,Udupi,Private,Multi-speciality,4.2,Medium,13.3355,74.7439,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Raghavendra Hospital Udupi,Karnataka,Udupi,Udupi,Trust,Multi-speciality,4.2,Low,13.3409,74.7367,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Coastal Multispeciality Hospital,Karnataka,Udupi,Udupi,Trust,Multi-speciality,4.1,Low,13.3463,74.7295,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Udupi District Hospital,Karnataka,Udupi,Udupi,Government,General Medicine,3.9,Low,13.3517,74.7565,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Manipal City Hospital,Karnataka,Udupi,Udupi,Private,Multi-speciality,4.6,High,13.3265,74.7493,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Kundapura Community Care Hospital,Karnataka,Udupi,Udupi,Private,Multi-speciality,4.3,Medium,13.3319,74.7421,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Kasturba Hospital Manipal,Karnataka,Udupi,Manipal,Private,Multi-speciality,4.7,High,13.3486,74.7849,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Manipal Hospital Manipal,Karnataka,Udupi,Manipal,Private,Multi-speciality,4.3,High,13.354,74.7777,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Manipal Heart Centre,Karnataka,Udupi,Manipal,Private,Cardiology,4.7,High,13.3594,74.8047,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KMC Teaching Hospital Manipal,Karnataka,Udupi,Manipal,Government,Multi-speciality,3.8,Low,13.3648,74.7975,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Kasturba Trauma Centre,Karnataka,Udupi,Manipal,Trust,Orthopedics & Trauma,4.5,High,13.3396,74.7903,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Manipal Neurology Institute,Karnataka,Udupi,Manipal,Private,Neurology,4.6,High,13.345,74.7831,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Manipal Womens and Child Care Hospital,Karnataka,Udupi,Manipal,Private,Obstetrics & Gynaecology,4.4,High,13.3504,74.7759,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Manipal Eye Care Centre,Karnataka,Udupi,Manipal,Private,Ophthalmology,4.4,High,13.3558,74.8029,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Manipal Specialty Clinic,Karnataka,Udupi,Manipal,Private,Multi-speciality,4.4,High,13.3612,74.7957,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KMC Dental Hospital Manipal,Karnataka,Udupi,Manipal,Private,Dental,4.4,High,13.3666,74.7885,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
McGann Teaching District Hospital,Karnataka,Shivamogga,Shivamogga,Government,Multi-speciality,4.0,Low,13.9191,75.5573,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sahyadri Narayana Multispeciality Hospital,Karnataka,Shivamogga,Shivamogga,Private,Multi-speciality,4.6,High,13.9245,75.5843,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Nanjappa Hospital,Karnataka,Shivamogga,Shivamogga,Private,Multi-speciality,4.3,Medium,13.9299,75.5771,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Shimoga Institute of Medical Sciences Hospital,Karnataka,Shivamogga,Shivamogga,Government,Multi-speciality,3.8,Low,13.9353,75.5699,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Malnad District Hospital,Karnataka,Shivamogga,Shivamogga,Government,General Medicine,4.1,Low,13.9407,75.5627,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Shiva Shakti Multispeciality Hospital,Karnataka,Shivamogga,Shivamogga,Trust,Multi-speciality,3.8,Low,13.9155,75.5555,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Shivamogga Heart Centre,Karnataka,Shivamogga,Shivamogga,Trust,Cardiology,4.4,High,13.9209,75.5825,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Basaveshwara Hospital Shivamogga,Karnataka,Shivamogga,Shivamogga,Trust,Multi-speciality,4.1,Low,13.9263,75.5753,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Vinayaka Hospital Shivamogga,Karnataka,Shivamogga,Shivamogga,Trust,Multi-speciality,3.8,Low,13.9317,75.5681,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Malnad City Care Hospital,Karnataka,Shivamogga,Shivamogga,Trust,Multi-speciality,3.9,Low,13.9371,75.5609,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Basaveshwar Teaching and General Hospital,Karnataka,Kalaburagi,Kalaburagi,Government,Multi-speciality,3.8,Low,17.3423,76.8199,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Khaja Bandanawaz Teaching Hospital,Karnataka,Kalaburagi,Kalaburagi,Government,Multi-speciality,4.1,Low,17.3171,76.8469,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Gulbarga Heart Centre,Karnataka,Kalaburagi,Kalaburagi,Trust,Cardiology,4.2,High,17.3225,76.8397,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
KBN Multispeciality Hospital,Karnataka,Kalaburagi,Kalaburagi,Trust,Multi-speciality,4.0,Low,17.3279,76.8325,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Kalaburagi City Hospital,Karnataka,Kalaburagi,Kalaburagi,Trust,Multi-speciality,4.1,Low,17.3333,76.8253,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sanjivini Hospital Kalaburagi,Karnataka,Kalaburagi,Kalaburagi,Trust,Multi-speciality,4.0,Low,17.3387,76.8181,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Al Ameen Medical College Hospital,Karnataka,Kalaburagi,Kalaburagi,Government,Multi-speciality,3.7,Low,17.3441,76.8451,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
District General Hospital Kalaburagi,Karnataka,Kalaburagi,Kalaburagi,Government,General Medicine,4.1,Low,17.3189,76.8379,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Hyderabad Karnataka Specialty Hospital,Karnataka,Kalaburagi,Kalaburagi,Trust,Multi-speciality,4.1,Low,17.3243,76.8307,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Shree Sai Hospital Kalaburagi,Karnataka,Kalaburagi,Kalaburagi,Trust,Multi-speciality,3.9,Low,17.3297,76.8235,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sri Siddhartha Medical College Hospital,Karnataka,Tumakuru,Tumakuru,Government,Multi-speciality,3.7,Low,13.3469,77.1172,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Siddaganga Hospital and Research Centre,Karnataka,Tumakuru,Tumakuru,Private,Multi-speciality,4.2,Medium,13.3523,77.11,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Adarsha Hospital Tumakuru,Karnataka,Tumakuru,Tumakuru,Trust,Multi-speciality,4.0,Low,13.3271,77.1028,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Tumakuru District Hospital,Karnataka,Tumakuru,Tumakuru,Government,General Medicine,3.9,Low,13.3325,77.0956,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sree Siddhartha Institute of Medical Sciences Hospital,Karnataka,Tumakuru,Tumakuru,Government,Multi-speciality,3.7,Low,13.3379,77.0884,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Deccan Multispeciality Hospital Tumakuru,Karnataka,Tumakuru,Tumakuru,Trust,Multi-speciality,3.9,Low,13.3433,77.1154,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Tumakuru Eye Hospital,Karnataka,Tumakuru,Tumakuru,Trust,Ophthalmology,4.2,Low,13.3487,77.1082,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Tumakuru Heart Centre,Karnataka,Tumakuru,Tumakuru,Trust,Cardiology,4.5,High,13.3541,77.101,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Tumakuru City Care Hospital,Karnataka,Tumakuru,Tumakuru,Trust,Multi-speciality,3.8,Low,13.3289,77.0938,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Madhugiri Community Hospital,Karnataka,Tumakuru,Tumakuru,Private,General Medicine,4.2,Medium,13.3343,77.0866,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Hassan Institute of Medical Sciences,Karnataka,Hassan,Hassan,Government,Multi-speciality,4.0,Low,13.0032,76.1116,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Bharathi Nursing Home Hassan,Karnataka,Hassan,Hassan,Trust,Multi-speciality,4.1,Low,13.0086,76.1044,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Hemavathi Hospital Hassan,Karnataka,Hassan,Hassan,Trust,Multi-speciality,3.9,Low,13.014,76.0972,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sanjeevini Hospital Hassan,Karnataka,Hassan,Hassan,Trust,Multi-speciality,4.0,Low,13.0194,76.09,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
District General Hospital Hassan,Karnataka,Hassan,Hassan,Government,General Medicine,4.0,Low,12.9942,76.0828,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Malnad Multispeciality Hospital Hassan,Karnataka,Hassan,Hassan,Trust,Multi-speciality,4.2,Low,12.9996,76.1098,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Hassan City Hospital,Karnataka,Hassan,Hassan,Trust,Multi-speciality,4.1,Low,13.005,76.1026,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Sree Channakeshava Hospital,Karnataka,Hassan,Hassan,Trust,Multi-speciality,4.2,Low,13.0104,76.0954,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Hoysala Trauma Centre Hassan,Karnataka,Hassan,Hassan,Trust,Orthopedics & Trauma,4.2,High,13.0158,76.0882,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Hassan Eye and Dental Care Hospital,Karnataka,Hassan,Hassan,Trust,Ophthalmology,3.9,Low,12.9906,76.1152,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Bapuji Hospital,Karnataka,Davanagere,Davanagere,Private,Multi-speciality,4.4,Medium,14.4554,75.9308,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
SS Institute of Medical Sciences and Research Centre,Karnataka,Davanagere,Davanagere,Government,Multi-speciality,3.8,Low,14.4608,75.9236,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
City Central Hospital Davanagere,Karnataka,Davanagere,Davanagere,Trust,Multi-speciality,4.0,Low,14.4662,75.9164,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Davanagere District Hospital,Karnataka,Davanagere,Davanagere,Government,General Medicine,3.8,Low,14.4716,75.9092,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Shamanur Hospital and Research Centre,Karnataka,Davanagere,Davanagere,Private,Multi-speciality,4.5,Medium,14.477,75.9362,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Bapuji Cancer Centre,Karnataka,Davanagere,Davanagere,Private,Oncology,4.6,High,14.4518,75.929,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Davanagere Heart Institute,Karnataka,Davanagere,Davanagere,Trust,Cardiology,4.1,Medium,14.4572,75.9218,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
JJM Medical College Hospital,Karnataka,Davanagere,Davanagere,Government,Multi-speciality,4.0,Low,14.4626,75.9146,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
D Group Multispeciality Hospital,Karnataka,Davanagere,Davanagere,Trust,Multi-speciality,4.1,Low,14.468,75.9074,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Malatesh Hospital Davanagere,Karnataka,Davanagere,Davanagere,Trust,Multi-speciality,3.9,Low,14.4734,75.9344,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
VIMS Bellary,Karnataka,Ballari,Ballari,Trust,Multi-speciality,3.9,Low,15.1538,76.9268,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Vijayanagar Institute of Medical Sciences,Karnataka,Ballari,Ballari,Government,Multi-speciality,4.0,Low,15.1286,76.9196,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Ballari District Hospital,Karnataka,Ballari,Ballari,Government,General Medicine,3.9,Low,15.134,76.9124,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
Nandini Hospital Ballari,Karnataka,Ballari,Ballari,Trust,Multi-speciality,3.8,Low,15.1394,76.9052,Curated starter dataset from public Karnataka/India hospital references; coordinates are city-level geocodes for prototype use.
